sep=;
Source;Target;Changed;Unchanged;Not in source;Not in target
Entities\;Entities\;3;0;0;0
Entities\Account\;Entities\Account\;3;0;0;0
Entities\Account\Entity.xml;Entities\Account\Entity.xml;;;;
Entities\Account\FormXml\;Entities\Account\FormXml\;1;0;0;0
Entities\Account\FormXml\main\;Entities\Account\FormXml\main\;1;0;0;0
Entities\Account\FormXml\main\b053a39a-041a-4356-acef-ddf00182762b.xml;Entities\Account\FormXml\main\b053a39a-041a-4356-acef-ddf00182762b.xml;;;;
Entities\Account\RibbonDiff.xml;Entities\Account\RibbonDiff.xml;;;;
Other\;Other\;2;1;14;0
Other\Customizations.xml;Other\Customizations.xml;;;;
Other\Solution.xml;Other\Solution.xml;;;;
Other\Relationships.xml;Other\Relationships.xml;;;;
Other\Relationships\;Other\Relationships\;0;0;14;0
;Other\Relationships\Account.xml;;;;
;Other\Relationships\BusinessUnit.xml;;;;
;Other\Relationships\Contact.xml;;;;
;Other\Relationships\Equipment.xml;;;;
;Other\Relationships\ExternalParty.xml;;;;
;Other\Relationships\Lead.xml;;;;
;Other\Relationships\List.xml;;;;
;Other\Relationships\Owner.xml;;;;
;Other\Relationships\PriceLevel.xml;;;;
;Other\Relationships\Service.xml;;;;
;Other\Relationships\SystemUser.xml;;;;
;Other\Relationships\Team.xml;;;;
;Other\Relationships\Territory.xml;;;;
;Other\Relationships\TransactionCurrency.xml;;;;
PluginAssemblies\;PluginAssemblies\;1;0;0;0
PluginAssemblies\ILMergedDelegateCRMUGSolutionPackagerPlugins-63FB4563-65CD-E511-80DB-6C3BE5BEEFC0\;PluginAssemblies\ILMergedDelegateCRMUGSolutionPackagerPlugins-63FB4563-65CD-E511-80DB-6C3BE5BEEFC0\;1;0;0;0
PluginAssemblies\ILMergedDelegateCRMUGSolutionPackagerPlugins-63FB4563-65CD-E511-80DB-6C3BE5BEEFC0\ILMergedDelegateCRMUGSolutionPackagerPlugins.dll;PluginAssemblies\ILMergedDelegateCRMUGSolutionPackagerPlugins-63FB4563-65CD-E511-80DB-6C3BE5BEEFC0\ILMergedDelegateCRMUGSolutionPackagerPlugins.dll;;;;
SdkMessageProcessingSteps\;SdkMessageProcessingSteps\;5;0;0;0
SdkMessageProcessingSteps\68fb4563-65cd-e511-80db-6c3be5beefc0.xml;SdkMessageProcessingSteps\68fb4563-65cd-e511-80db-6c3be5beefc0.xml;;;;
SdkMessageProcessingSteps\69fb4563-65cd-e511-80db-6c3be5beefc0.xml;SdkMessageProcessingSteps\69fb4563-65cd-e511-80db-6c3be5beefc0.xml;;;;
SdkMessageProcessingSteps\6efb4563-65cd-e511-80db-6c3be5beefc0.xml;SdkMessageProcessingSteps\6efb4563-65cd-e511-80db-6c3be5beefc0.xml;;;;
SdkMessageProcessingSteps\6ffb4563-65cd-e511-80db-6c3be5beefc0.xml;SdkMessageProcessingSteps\6ffb4563-65cd-e511-80db-6c3be5beefc0.xml;;;;
SdkMessageProcessingSteps\74fb4563-65cd-e511-80db-6c3be5beefc0.xml;SdkMessageProcessingSteps\74fb4563-65cd-e511-80db-6c3be5beefc0.xml;;;;
